Designator,Mid X,Mid Y,Rotation,Layer
C1,89.2,-106.3,270.0,Bottom
C12,41.1,-145.7,270.0,Top
C13,45.6,-136.6,180.0,Top
C2,35.6,-138.5,180.0,Top
C22,61.2,-155.4,180.0,Top
C23,63.7,-140.4,180.0,Top
C24,67.0,-166.3,90.0,Top
C25,57.0,-163.3,90.0,Top
C26,61.9,-164.3,90.0,Top
C3,83.7,-106.8,0.0,Top
C4,80.347388,-120.3,180.0,Top
C8,96.1,-116.1,270.0,Top
D1,46.15,-109.4,270.0,Bottom
D4,48.6,-127.3875,270.0,Bottom
FB1,54.65,-112.45,180.0,Bottom
H1,33.6,-103.5,0.0,Top
H2,96.45,-103.45,0.0,Top
H3,33.497056,-166.497056,0.0,Top
H4,96.55,-166.5,0.0,Top
IC1,47.0,-160.0,0.0,Top
IC2,92.6,-151.0,0.0,Top
IC3,93.5,-136.555,270.0,Top
IC4,61.8,-148.6,0.0,Top
IC6,89.3,-167.0,0.0,Top
J1,71.77,-133.685,270.0,Top
J2,33.48,-149.93,180.0,Top
J4,83.5,-166.5,0.0,Top
J5,90.5,-161.0,0.0,Top
J6,37.01,-117.9,270.0,Bottom
J7,55.6,-134.9,0.0,Top
Q3,97.3,-123.9,180.0,Top
Q5,48.55,-123.75,270.0,Bottom
R1,57.4,-147.0,90.0,Top
R17,94.675,-109.7,0.0,Top
R18,52.4,-127.5,180.0,Bottom
R19,94.5,-156.3,0.0,Top
R2,54.7,-146.8,90.0,Top
R20,53.3,-139.8,90.0,Top
R21,47.8,-143.825,270.0,Top
R28,34.25,-158.61,90.0,Bottom
R29,99.5,-120.975,90.0,Top
R30,78.25,-166.5,180.0,Top
S1,87.05,-116.85,90.0,Top
S4,82.5,-158.0,270.0,Top
TP1,32.9,-126.8,180.0,Top
TP2,53.7,-102.1,0.0,Top
TP3,32.9,-132.4,180.0,Top
TP4,32.1,-109.7,180.0,Top
TP5,40.9,-101.9,180.0,Top
TP6,46.7,-102.0,0.0,Top
U2,49.0,-118.0,270.0,Top
