Designator,Mid X,Mid Y,Rotation,Layer
C1,89.2,-106.3,270.0,bottom
C12,50.3,-145.775,270.0,top
C13,48.025,-136.575,180.0,top
C2,43.175,-117.825,180.0,bottom
C22,61.2,-155.4,180.0,top
C23,63.7,-140.4,180.0,top
C24,67.0,-166.3,90.0,top
C25,57.0,-163.3,90.0,top
C26,61.9,-164.3,90.0,top
C3,83.7,-106.8,0.0,top
C4,80.347388,-120.3,180.0,top
C8,96.1,-116.1,270.0,top
D1,46.15,-109.4,270.0,bottom
D4,48.6,-127.3875,270.0,bottom
FB1,54.65,-112.45,180.0,bottom
H1,33.6,-103.5,0.0,top
H2,96.45,-103.45,0.0,top
H3,33.497056,-166.497056,0.0,top
H4,96.55,-166.5,0.0,top
IC1,47.0,-160.0,0.0,top
IC2,92.6,-151.0,0.0,top
IC3,93.5,-136.555,270.0,top
IC4,61.8,-148.6,0.0,top
IC6,89.3,-167.0,0.0,top
J1,71.77,-133.685,270.0,top
J2,33.48,-149.93,180.0,top
J4,83.5,-166.5,0.0,top
J5,90.5,-161.0,0.0,top
J6,35.71,-137.55,270.0,top
J7,55.6,-134.9,0.0,top
Q3,97.3,-123.9,180.0,top
Q5,48.55,-123.75,270.0,bottom
R1,57.4,-147.0,90.0,top
R17,94.675,-109.7,0.0,top
R18,52.4,-127.5,180.0,bottom
R19,94.5,-156.3,0.0,top
R2,54.7,-146.8,90.0,top
R20,55.2,-139.575,90.0,top
R21,52.625,-139.5,270.0,top
R28,34.25,-158.61,90.0,bottom
R29,99.5,-120.975,90.0,top
R30,78.25,-166.5,180.0,top
S1,87.05,-116.85,90.0,top
S4,82.5,-158.0,270.0,top
TP1,32.175,-118.875,180.0,top
TP2,53.7,-102.1,0.0,top
TP3,32.125,-123.35,180.0,top
TP4,32.1,-109.7,180.0,top
TP5,40.9,-101.9,180.0,top
TP6,46.7,-102.0,0.0,top
U2,49.0,-118.0,270.0,top
