Comment,Designator,Footprint,LCSC Part #
1uF,"C1, C26",CP_Elec_6.3x5.4,
0F,"C12, C13",CP_Elec_6.3x5.4,
100nF,"C2, C3",CP_Elec_6.3x5.4,
1000nF,C22,CP_Elec_6.3x5.4,
1000uF,C23,CP_EIA-3216-18_Kemet-A,
100uF,"C24, C25",CP_EIA-3216-18_Kemet-A,
1uF,C4,CP_EIA-3216-18_Kemet-A,
100nF,C8,CP_Elec_6.3x5.4,
PESD5V0C1BSFYL,D1,PMEG3005AESFYL,
LED,D4,0603,
280 ohm,FB1,0805,
NEO-F10N-00B,IC1,NEOF10N00B,
TXB0104PWR,IC2,SOP65P640X120-14N,
ESP32-S3-WROOM-1-N4R8,IC3,ESP32S3WROOM1N4R8,
MAX98357AETE+T,IC4,QFN50P300X300X80-17N,
4259-63,IC6,SOT65P210X110-6N,
DS1013-40SSIB1-B-0,J1,DS101340SSIB1B0,
Conn_02x04,J2,PinHeader_2x04_P2.54mm_Vertical,
FXP612 (u.FL) 2,J4,U.FL_Molex_MCRF_73412-0110_Vertical,
FXP612 (u.FL) 1,"J5, J7",U.FL_Molex_MCRF_73412-0110_Vertical,
SIM8055-6-1-14-00-A,J6,GCT_SIM8055-6-1-14-00-A,
Si2323DDS-T1-GE3,Q3,SOT-23,
BSS138,Q5,SOT95P240X120-3N,
10k,"R1, R17, R19, R28, R29, R30",0603,
330 ohm,R18,0603,
100k,R2,0603,
0 ohm,"R20, R21",0603,
1825910-6,"S1, S4",18259106,
USB_DP,TP1,TestPoint_THTPad_D2.0mm_Drill1.0mm,
BOOT_CFG,TP2,TestPoint_THTPad_D2.0mm_Drill1.0mm,
USB_DM,TP3,TestPoint_THTPad_D2.0mm_Drill1.0mm,
USB_VBUS,TP4,TestPoint_THTPad_D2.0mm_Drill1.0mm,
MDM_LOG_TX,TP5,TestPoint_THTPad_D2.0mm_Drill1.0mm,
TestPoint,TP6,TestPoint_THTPad_D2.0mm_Drill1.0mm,
SIM7000G,U2,SIM7000G,
