Designator,Mid X,Mid Y,Layer,Rotation
C1,0,0,Top,0
C12,0,0,Top,0
C13,0,0,Top,0
C2,0,0,Top,0
C22,0,0,Top,0
C23,0,0,Top,0
C24,0,0,Top,0
C25,0,0,Top,0
C26,0,0,Top,0
C3,0,0,Top,0
C4,0,0,Top,0
C8,0,0,Top,0
D1,0,0,Top,0
D4,0,0,Top,0
FB1,0,0,Top,0
H1,0,0,Top,0
H2,0,0,Top,0
H3,0,0,Top,0
H4,0,0,Top,0
IC1,0,0,Top,0
IC2,0,0,Top,0
IC3,0,0,Top,0
IC4,0,0,Top,0
IC6,0,0,Top,0
J1,0,0,Top,0
J2,0,0,Top,0
J4,0,0,Top,0
J5,0,0,Top,0
J6,0,0,Top,0
J7,0,0,Top,0
Q3,0,0,Top,0
Q5,0,0,Top,0
R1,0,0,Top,0
R17,0,0,Top,0
R18,0,0,Top,0
R19,0,0,Top,0
R2,0,0,Top,0
R20,0,0,Top,0
R21,0,0,Top,0
R28,0,0,Top,0
R29,0,0,Top,0
R30,0,0,Top,0
S1,0,0,Top,0
S4,0,0,Top,0
TP1,0,0,Top,0
TP2,0,0,Top,0
TP3,0,0,Top,0
TP4,0,0,Top,0
TP5,0,0,Top,0
TP6,0,0,Top,0
U2,0,0,Top,0
