"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","1μF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C2,C3","2","100nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C4","1","1μF","","","","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm",""
"C8","1","100 nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C12,C13","2","0F","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C22","1","1000nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C23","1","1000µF","","","","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm",""
"C24,C25","2","100µF","","","","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm",""
"C26","1","1µF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"D1","1","PESD5V0C1BSFYL","","","","PESD5V0C1BSFYL:PMEG3005AESFYL","https://assets.nexperia.com/documents/data-sheet/PESD5V0C1BSF.pdf"
"D4","1","LED","","","","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal",""
"FB1","1","280Ω","","","","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",""
"IC1","1","NEO-F10N-00B","","","","NEO-F10N-00B:NEOF10N00B","https://content.u-blox.com/sites/default/files/documents/NEO-F10N_DataSheet_UBX-23002117.pdf"
"IC2","1","TXB0104PWR","","","","Smartball_footprints:SOP65P640X120-14N","http://www.ti.com/lit/ds/symlink/txb0104.pdf"
"IC3","1","ESP32-S3-WROOM-1-N4R8","","","","ESP32-S3-WROOM-1-N4R8/:ESP32S3WROOM1N4R8","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
"IC6","1","4259-63","","","","4259-63:SOT65P210X110-6N","http://www.psemi.com/pdf/datasheets/pe4259ds.pdf"
"IC8","1","MAX98357AETE+T","","","","MAX98357AETE+T:QFN50P300X300X80-17N","https://datasheets.maximintegrated.com/en/ds/MAX98357A-MAX98357B.pdf"
"J1","1","DS1013-40SSIB1-B-0","","","","DS1013-40SSIB1-B-0:DS101340SSIB1B0","https://www.tme.eu/Document/c6e6da985bd9c519d97c4924b5c8a047/DS1013.pdf"
"J4","1","FXP612 (u.FL) 2","","","","Connector_Coaxial:U.FL_Molex_MCRF_73412-0110_Vertical",""
"J5,J7","2","FXP612 (u.FL) 1","","","","Connector_Coaxial:U.FL_Molex_MCRF_73412-0110_Vertical",""
"J6","1","SIM8055-6-1-14-00-A","","","","SIM8055-6-1-14-00-A:GCT_SIM8055-6-1-14-00-A",""
"Q3","1","Si2323DDS-T1-GE3","","","","Si2323DDS-T1-GE3:SOT95P237X112-3N","https://altium.componentsearchengine.com/Datasheets/2/SI2323DDS-T1-GE3.pdf"
"Q5","1","BSS138","","","","BSS138:SOT95P240X120-3N","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF"
"R16,R26","2","100kΩ","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R17,R19,R28,R29,R30","5","10kΩ","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R18","1","330Ω","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R20,R21","2","0Ω","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"S1,S4","2","1825910-6","","","","1825910-6:18259106","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308111-1_SWITCHES_CORE_PROGRAM_CATALOG&DocType=Catalog%20Section&DocLang=English&PartCntxt=1825910-6&DocFormat=pdf"
"TP1","1","USB_DP","","","","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm",""
"TP2","1","BOOT_CFG","","","","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm",""
"TP3","1","USB_DM","","","","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm",""
"TP4","1","USB_VBUS","","","","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm",""
"TP5","1","MDM_LOG_TX","","","","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm",""
"TP6","1","TestPoint","","","","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm",""
"U2","1","SIM7000G","","","","SIM7000G:SIM7000G",""
