"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AC1","1","H3LIS331DLTR","","","","H3LIS331DLTR:LIS3DHTR","https://www.st.com/resource/en/datasheet/h3lis331dl.pdf"
"BT2","1","Battery","","","","Connector_Wire:SolderWire-0.75sqmm_1x02_P4.8mm_D1.25mm_OD2.3mm",""
"C1,C3","2","10μF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C2","1","0.1μF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C4","1","220µF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C5,C6,C34,C37","4","10µF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C19,C23,C25,C30,C31","5","10µF","","","","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm",""
"C20","1","C1","","","","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm",""
"C21,C29","2","22µF","","","","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm",""
"C22","1","1µF","","","","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm",""
"C24,C27","2","0.47µF","","","","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm",""
"C26","1","C2","","","","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm",""
"C28","1","20µF","","","","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm",""
"C32","1","4.7µF","","","","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm",""
"C33","1","0.1µF","","","","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm",""
"C35","1","2.2µF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"D1,D6","2","LED","","","","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal",""
"D5,D7","2","SS14","","","","SS14:DIOM5227X270N","https://www.onsemi.com/pub/Collateral/SS19-D.PDF"
"D8","1","USBLC6-2SC6Y","","","","USBLC6-2SC6Y:SOT95P280X145-6N",""
"IC1","1","TPS6213013AQRGTTQ1","","","","TPS6213013AQRGTTQ1:QFN50P300X300X100-17N-D","http://www.ti.com/lit/gpn/TPS6213013A-Q1"
"IC7","1","BQ51013BRHLR","","","","BQ51013BRHLR:BQ51050BRHLR","http://www.ti.com/lit/ds/symlink/bq51013b.pdf"
"IC8","1","TPS63000IDRCRQ1","","","","TPS63000IDRCRQ1:TPS63000IDRCRQ1","https://www.ti.com/lit/gpn/tps63000-q1?HQS=ti-null-null-sf-df-pf-sep-wwe&DCM=yes"
