Designator,Mid X,Mid Y,Rotation,Layer
AC1,49.2,-128.5,0.0,top
BT2,39.8,-137.5,180.0,top
C1,39.0,-126.6,90.0,top
C19,75.655113,-135.75,0.0,bottom
C2,79.25,-109.0,0.0,top
C20,96.75,-132.0,0.0,top
C21,75.25,-144.0,0.0,top
C22,80.75,-147.0,0.0,bottom
C23,97.0,-141.75,90.0,bottom
C24,97.1,-148.55,90.0,top
C25,93.25,-154.0,0.0,top
C26,93.25,-137.0,180.0,top
C27,86.25,-154.0,0.0,top
C28,87.95,-136.6,0.0,bottom
C29,81.25,-137.0,180.0,top
C3,56.25,-107.0,0.0,top
C30,74.25,-152.0,0.0,top
C31,80.0,-129.75,270.0,top
C32,55.25,-143.0,0.0,top
C33,56.25,-137.0,0.0,top
C34,95.25,-127.0,0.0,top
C35,56.25,-113.0,0.0,top
C37,32.0,-131.75,270.0,top
C4,37.75,-107.0,0.0,top
C5,60.75,-102.0,0.0,top
C6,54.75,-102.0,180.0,top
D1,42.69,-142.6,0.0,top
D5,95.85,-161.0,0.0,top
D6,85.19,-166.0,0.0,top
D7,76.0,-159.0,0.0,top
D8,49.0,-155.5,0.0,top
H1,32.4,-103.0,0.0,top
H2,96.7,-103.5,0.0,top
H3,32.6,-167.7,0.0,top
H4,97.0,-167.7,0.0,top
IC1,43.25,-107.0,0.0,top
IC10,74.5,-127.9,0.0,top
IC11,41.362,-116.975,0.0,top
IC7,87.25,-145.375,0.0,top
IC8,86.4,-108.55,180.0,top
IC9,51.0,-137.0,180.0,top
J1,50.0,-143.905,180.0,top
J2,65.27,-135.13,270.0,top
J3,44.1,-165.2375,0.0,top
L1,44.0,-102.0,0.0,top
L3,83.0,-103.0,0.0,top
L4,34.1,-122.58,90.0,top
Q2,74.95,-164.0,0.0,top
Q3,81.0,-154.0,0.0,top
R17,32.0,-152.0,90.0,top
R18,85.19,-161.0,180.0,top
R19,32.0,-141.0,90.0,top
R20,92.7,-144.11,270.0,bottom
R21,49.0,-125.0,180.0,top
R22,41.0,-154.0,0.0,top
R23,49.19,-133.0,180.0,top
R24,88.19,-132.0,0.0,bottom
R25,81.0,-140.0,0.0,bottom
R26,89.19,-118.81,270.0,top
R27,59.35,-167.85,0.0,top
R28,81.5,-118.95,270.0,top
R29,57.0,-126.81,270.0,top
R30,51.9,-119.7,180.0,top
R31,41.19,-121.8,180.0,top
R32,53.9,-156.1,90.0,top
R33,48.19,-149.0,0.0,top
R34,38.5,-157.2,0.0,top
R35,57.0,-151.0,90.0,top
R36,38.99,-132.7,0.0,top
R37,85.0,-118.96,270.0,top
R38,70.19,-102.0,180.0,top
R39,30.4,-111.4,270.0,top
R40,49.0,-113.0,90.0,bottom
R41,51.0,-108.81,90.0,top
R42,43.0,-112.0,0.0,top
S2,96.0,-116.0,270.0,top
TH4,90.0,-154.19,90.0,bottom
U2,39.0,-148.375,270.0,top
