Designator,Footprint,Quantity,Value,LCSC Part #
AC1,LIS3DHTR,1,H3LIS331DLTR,
BT2,SolderWire-0.75sqmm_1x02_P4.8mm_D1.25mm_OD2.3mm,1,Battery,
"C1, C3, C34, C37, C5, C6",C_Disc_D5.0mm_W2.5mm_P2.50mm,6,10μF,
"C19, C23, C25, C30, C31",CP_Radial_Tantal_D5.0mm_P2.50mm,5,10µF,
C2,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,0.1μF,
C20,CP_Radial_Tantal_D5.0mm_P2.50mm,1,C1,
"C21, C29",CP_Radial_Tantal_D5.0mm_P2.50mm,2,22µF,
C22,CP_Radial_Tantal_D5.0mm_P2.50mm,1,1µF,
"C24, C27",CP_Radial_Tantal_D5.0mm_P2.50mm,2,0.47µF,
C26,CP_Radial_Tantal_D5.0mm_P2.50mm,1,C2,
C28,CP_Radial_Tantal_D5.0mm_P2.50mm,1,20µF,
C32,CP_Radial_Tantal_D5.0mm_P2.50mm,1,4.7µF,
C33,CP_Radial_Tantal_D5.0mm_P2.50mm,1,0.1µF,
C35,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,2.2µF,
C4,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,220µF,
"D1, D6",D_DO-41_SOD81_P7.62mm_Horizontal,2,LED,
"D5, D7",DIOM5227X270N,2,SS14,
D8,SOT95P280X145-6N,1,USBLC6-2SC6Y,
IC1,QFN50P300X300X100-17N-D,1,TPS6213013AQRGTTQ1,
IC10,LSM6DSV16BXTR,1,LSM6DSV16BXTR,
IC11,SOP65P640X120-17N,1,TPS61032PWP,
IC7,BQ51050BRHLR,1,BQ51013BRHLR,
IC8,TPS63000IDRCRQ1,1,TPS63000IDRCRQ1,
IC9,SON50P200X200X80-9N-D,1,MAX17048G+T10,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Speaker_con,
J2,DS101340SSIB1B0,1,DS1013-40SSIB1-B-0,
J3,GCT_USB4110GFA,1,USB4110GFA,
"L1, L3",L_Axial_L7.0mm_D3.3mm_P10.16mm_Horizontal_Fastron_MICC,2,2.2µH,
L4,L_Axial_L7.0mm_D3.3mm_P10.16mm_Horizontal_Fastron_MICC,1,6.8µH,
Q2,SOT95P237X112-3N,1,Si2323DDS-T1-GE3,
Q3,SOT95P240X120-3N,1,BSS138,
"R17, R34",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,1kΩ,
R18,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1.5kΩ,
"R19, R31, R38, R42",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,100kΩ,
R20,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,66Ω,
"R21, R22, R23",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,10Ω,
R24,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,200Ω,
R25,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,20kΩ,
R26,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1MΩ,
"R27, R32",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,5.1kΩ,
R28,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,180kΩ,
"R29, R30",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,4.7kΩ,
"R33, R37, R41, TH4",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,10kΩ,
R35,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,330kΩ,
R36,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,110kΩ,
R39,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,200kΩ,
R40,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,750kΩ,
S2,SLW12768644AD,1,SLW-1276864-4A-D,
U2,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,MCP73871-2CA,
